CSV,Berlin,Hamburg,Munchen,Koln,Frankfurt,Stuttgart,Dusseldorf,Dortmund,Essen,Bremen,Dresden,Leipzig,Hannover,Nurnberg,Duisburg,Bochum,Wuppertal,Bonn,Bielefeld,Mannheim,Karlsruhe,Munster,Wiesbaden,Augsburg,Aachen,Monchengladbach,Gelsenkirchen,Braunschweig,Chemnitz,Kiel,Krefeld,Halle,Magdeburg,Freiburg,Oberhausen,Lubeck,Erfurt,Rostock,Mainz,Kassel,Hagen,Hamm,Saarbrucken,Mulheim,Herne,Ludwigshafen,Osnabruck,Oldenburg,Leverkusen,Solingen,Potsdam,Neuss,Heidelberg,Paderborn,Darmstadt,Regensburg,Wurzburg,Ingolstadt,Heilbronn,Ulm,Wolfsburg,Gottingen,Offenbach,Pforzheim,Recklinghausen,Bottrop,Furth,Bremerhaven,Reutlingen,Remscheid,Koblenz,Bergisch_Gladbach,Erlangen,Moers,Trier,Jena,Siegen,Hildesheim,Salzgitter,Cottbus,St_Augustine,Baden_Baden,Basel_Switzerland
Paderborn,430 km: 3 hours 58 mins,289 km: 2 hours 43 mins,557 km: 5 hours 7 mins,183 km: 1 hour 53 mins,277 km: 2 hours 40 mins,437 km: 4 hours 14 mins,171 km: 1 hour 49 mins,101 km: 1 hour 9 mins,136 km: 1 hour 33 mins,265 km: 2 hours 26 mins,451 km: 4 hours 4 mins,347 km: 3 hours 9 mins,148 km: 1 hour 27 mins,389 km: 3 hours 44 mins,156 km: 1 hour 46 mins,122 km: 1 hour 23 mins,138 km: 1 hour 27 mins,206 km: 2 hours 4 mins,49.2 km: 34 mins,352 km: 3 hours 18 mins,407 km: 3 hours 50 mins,140 km: 1 hour 27 mins,298 km: 2 hours 48 mins,526 km: 4 hours 53 mins,245 km: 2 hours 30 mins,195 km: 2 hours 8 mins,134 km: 1 hour 31 mins,210 km: 1 hour 59 mins,409 km: 3 hours 44 mins,384 km: 3 hours 30 mins,171 km: 1 hour 59 mins,308 km: 2 hours 54 mins,290 km: 2 hours 36 mins,537 km: 5 hours 0 mins,163 km: 1 hour 37 mins,348 km: 3 hours 20 mins,277 km: 2 hours 40 mins,462 km: 4 hours 12 mins,303 km: 2 hours 57 mins,95.7 km: 1 hour 4 mins,114 km: 1 hour 13 mins,87.6 km: 1 hour 6 mins,452 km: 4 hours 14 mins,145 km: 1 hour 40 mins,122 km: 1 hour 22 mins,353 km: 3 hours 19 mins,95.9 km: 1 hour 18 mins,215 km: 2 hours 19 mins,167 km: 1 hour 38 mins,153 km: 1 hour 40 mins,408 km: 3 hours 36 mins,172 km: 1 hour 51 mins,357 km: 3 hours 20 mins,NULL,300 km: 2 hours 52 mins,491 km: 4 hours 35 mins,290 km: 2 hours 45 mins,482 km: 4 hours 26 mins,396 km: 3 hours 48 mins,478 km: 4 hours 22 mins,232 km: 2 hours 8 mins,143 km: 1 hour 28 mins,280 km: 2 hours 42 mins,427 km: 4 hours 1 min,130 km: 1 hour 26 mins,148 km: 1 hour 36 mins,382 km: 3 hours 37 mins,318 km: 2 hours 53 mins,479 km: 4 hours 32 mins,145 km: 1 hour 30 mins,287 km: 2 hours 45 mins,169 km: 1 hour 51 mins,372 km: 3 hours 28 mins,164 km: 1 hour 52 mins,367 km: 3 hours 40 mins,320 km: 2 hours 59 mins,187 km: 1 hour 55 mins,191 km: 1 hour 49 mins,219 km: 2 hours 3 mins,522 km: 4 hours 35 mins,204 km: 2 hours 3 mins,442 km: 4 hours 5 mins,596 km: 5 hours 31 mins
Darmstadt,576 km: 5 hours 15 mins,521 km: 4 hours 47 mins,406 km: 3 hours 47 mins,199 km: 1 hour 57 mins,38.6 km: 31 mins,178 km: 1 hour 49 mins,240 km: 2 hours 23 mins,248 km: 2 hours 22 mins,258 km: 2 hours 33 mins,469 km: 4 hours 19 mins,497 km: 4 hours 24 mins,421 km: 3 hours 47 mins,379 km: 3 hours 33 mins,238 km: 2 hours 23 mins,257 km: 2 hours 27 mins,261 km: 2 hours 31 mins,241 km: 2 hours 19 mins,182 km: 1 hour 47 mins,342 km: 3 hours 6 mins,58.2 km: 41 mins,109 km: 1 hour 12 mins,303 km: 2 hours 52 mins,44.2 km: 32 mins,329 km: 3 hours 16 mins,268 km: 2 hours 36 mins,261 km: 2 hours 32 mins,279 km: 2 hours 40 mins,364 km: 3 hours 26 mins,423 km: 3 hours 47 mins,617 km: 5 hours 34 mins,261 km: 2 hours 34 mins,426 km: 3 hours 52 mins,451 km: 4 hours 8 mins,240 km: 2 hours 22 mins,261 km: 2 hours 26 mins,581 km: 5 hours 24 mins,286 km: 2 hours 39 mins,695 km: 6 hours 16 mins,46.2 km: 33 mins,222 km: 2 hours 7 mins,233 km: 2 hours 13 mins,277 km: 2 hours 41 mins,172 km: 1 hour 43 mins,250 km: 2 hours 28 mins,267 km: 2 hours 32 mins,59.6 km: 42 mins,356 km: 3 hours 21 mins,459 km: 4 hours 12 mins,206 km: 1 hour 56 mins,225 km: 2 hours 15 mins,554 km: 4 hours 52 mins,244 km: 2 hours 23 mins,58.9 km: 42 mins,302 km: 2 hours 49 mins,NULL,341 km: 3 hours 15 mins,133 km: 1 hour 23 mins,331 km: 3 hours 6 mins,126 km: 1 hour 16 mins,257 km: 2 hours 33 mins,393 km: 3 hours 38 mins,261 km: 2 hours 27 mins,30.2 km: 32 mins,130 km: 1 hour 24 mins,277 km: 2 hours 39 mins,271 km: 2 hours 39 mins,231 km: 2 hours 17 mins,532 km: 4 hours 55 mins,204 km: 2 hours 4 mins,232 km: 2 hours 15 mins,135 km: 1 hour 23 mins,203 km: 2 hours 4 mins,227 km: 2 hours 11 mins,266 km: 2 hours 33 mins,219 km: 2 hours 10 mins,329 km: 2 hours 58 mins,169 km: 1 hour 56 mins,349 km: 3 hours 15 mins,343 km: 3 hours 10 mins,617 km: 5 hours 23 mins,172 km: 1 hour 41 mins,144 km: 1 hour 27 mins,298 km: 2 hours 53 mins
Regensburg,496 km: 4 hours 35 mins,703 km: 6 hours 16 mins,126 km: 1 hour 19 mins,505 km: 4 hours 42 mins,323 km: 3 hours 6 mins,298 km: 2 hours 52 mins,547 km: 5 hours 7 mins,536 km: 4 hours 56 mins,564 km: 5 hours 17 mins,679 km: 5 hours 59 mins,350 km: 3 hours 11 mins,341 km: 3 hours 7 mins,571 km: 5 hours 9 mins,112 km: 1 hour 12 mins,564 km: 5 hours 11 mins,549 km: 5 hours 5 mins,547 km: 5 hours 4 mins,489 km: 4 hours 31 mins,527 km: 4 hours 50 mins,328 km: 3 hours 4 mins,340 km: 3 hours 12 mins,591 km: 5 hours 26 mins,355 km: 3 hours 18 mins,147 km: 1 hour 40 mins,575 km: 5 hours 20 mins,568 km: 5 hours 17 mins,567 km: 5 hours 15 mins,514 km: 4 hours 39 mins,269 km: 2 hours 28 mins,798 km: 7 hours 4 mins,568 km: 5 hours 18 mins,351 km: 3 hours 14 mins,435 km: 3 hours 54 mins,470 km: 4 hours 22 mins,568 km: 5 hours 10 mins,769 km: 6 hours 49 mins,326 km: 3 hours 6 mins,687 km: 6 hours 5 mins,365 km: 3 hours 25 mins,407 km: 3 hours 51 mins,521 km: 4 hours 47 mins,545 km: 5 hours 7 mins,458 km: 4 hours 14 mins,557 km: 5 hours 12 mins,555 km: 5 hours 5 mins,330 km: 3 hours 5 mins,574 km: 5 hours 33 mins,722 km: 6 hours 25 mins,513 km: 4 hours 41 mins,532 km: 4 hours 59 mins,475 km: 4 hours 13 mins,551 km: 5 hours 7 mins,313 km: 2 hours 55 mins,487 km: 4 hours 33 mins,328 km: 3 hours 13 mins,NULL,208 km: 2 hours 1 min,97.8 km: 1 hour 1 min,257 km: 2 hours 27 mins,224 km: 2 hours 20 mins,512 km: 4 hours 33 mins,446 km: 4 hours 11 mins,316 km: 3 hours 0 mins,327 km: 3 hours 3 mins,564 km: 5 hours 13 mins,576 km: 5 hours 21 mins,117 km: 1 hour 15 mins,733 km: 6 hours 26 mins,340 km: 3 hours 11 mins,539 km: 4 hours 59 mins,442 km: 4 hours 7 mins,510 km: 4 hours 48 mins,119 km: 1 hour 11 mins,573 km: 5 hours 17 mins,505 km: 4 hours 41 mins,283 km: 2 hours 37 mins,447 km: 4 hours 10 mins,534 km: 4 hours 59 mins,512 km: 4 hours 38 mins,470 km: 4 hours 9 mins,479 km: 4 hours 25 mins,375 km: 3 hours 27 mins,529 km: 4 hours 54 mins
Wurzburg,482 km: 4 hours 28 mins,509 km: 4 hours 42 mins,278 km: 2 hours 34 mins,300 km: 2 hours 51 mins,118 km: 1 hour 15 mins,147 km: 1 hour 31 mins,342 km: 3 hours 16 mins,331 km: 3 hours 5 mins,359 km: 3 hours 26 mins,485 km: 4 hours 25 mins,375 km: 3 hours 22 mins,327 km: 3 hours 0 mins,367 km: 3 hours 28 mins,109 km: 1 hour 11 mins,359 km: 3 hours 20 mins,344 km: 3 hours 14 mins,343 km: 3 hours 13 mins,284 km: 2 hours 40 mins,330 km: 3 hours 2 mins,178 km: 1 hour 43 mins,190 km: 1 hour 51 mins,386 km: 3 hours 35 mins,150 km: 1 hour 27 mins,252 km: 2 hours 21 mins,370 km: 3 hours 29 mins,363 km: 3 hours 26 mins,362 km: 3 hours 24 mins,352 km: 3 hours 21 mins,294 km: 2 hours 40 mins,605 km: 5 hours 29 mins,363 km: 3 hours 27 mins,320 km: 3 hours 6 mins,367 km: 3 hours 43 mins,320 km: 3 hours 1 min,363 km: 3 hours 19 mins,569 km: 5 hours 19 mins,193 km: 1 hour 52 mins,673 km: 5 hours 57 mins,160 km: 1 hour 34 mins,210 km: 2 hours 3 mins,316 km: 2 hours 56 mins,347 km: 3 hours 19 mins,295 km: 2 hours 47 mins,352 km: 3 hours 21 mins,350 km: 3 hours 14 mins,180 km: 1 hour 44 mins,377 km: 3 hours 45 mins,496 km: 4 hours 46 mins,308 km: 2 hours 50 mins,327 km: 3 hours 8 mins,461 km: 4 hours 5 mins,346 km: 3 hours 17 mins,163 km: 1 hour 34 mins,290 km: 2 hours 45 mins,123 km: 1 hour 23 mins,212 km: 2 hours 2 mins,NULL,203 km: 1 hour 53 mins,107 km: 1 hour 6 mins,203 km: 1 hour 50 mins,381 km: 3 hours 34 mins,249 km: 2 hours 22 mins,111 km: 1 hour 9 mins,177 km: 1 hour 42 mins,359 km: 3 hours 22 mins,371 km: 3 hours 30 mins,103 km: 1 hour 4 mins,539 km: 4 hours 52 mins,190 km: 1 hour 49 mins,334 km: 3 hours 8 mins,237 km: 2 hours 16 mins,305 km: 2 hours 57 mins,98.0 km: 58 mins,368 km: 3 hours 26 mins,300 km: 3 hours 12 mins,235 km: 2 hours 11 mins,242 km: 2 hours 19 mins,336 km: 3 hours 10 mins,331 km: 3 hours 5 mins,495 km: 4 hours 20 mins,274 km: 2 hours 34 mins,225 km: 2 hours 6 mins,379 km: 3 hours 33 mins
Ingolstadt,510 km: 4 hours 41 mins,717 km: 6 hours 22 mins,81.5 km: 55 mins,499 km: 4 hours 37 mins,317 km: 3 hours 1 min,235 km: 2 hours 31 mins,541 km: 5 hours 2 mins,530 km: 4 hours 51 mins,558 km: 5 hours 12 mins,693 km: 6 hours 5 mins,392 km: 3 hours 31 mins,355 km: 3 hours 13 mins,559 km: 5 hours 12 mins,94.5 km: 1 hour 0 mins,558 km: 5 hours 6 mins,543 km: 5 hours 0 mins,542 km: 4 hours 59 mins,483 km: 4 hours 26 mins,522 km: 4 hours 45 mins,311 km: 2 hours 53 mins,322 km: 3 hours 1 min,585 km: 5 hours 21 mins,349 km: 3 hours 13 mins,84.0 km: 1 hour 7 mins,569 km: 5 hours 15 mins,562 km: 5 hours 12 mins,561 km: 5 hours 10 mins,528 km: 4 hours 44 mins,312 km: 2 hours 49 mins,812 km: 7 hours 9 mins,562 km: 5 hours 13 mins,365 km: 3 hours 19 mins,449 km: 3 hours 59 mins,453 km: 4 hours 11 mins,562 km: 5 hours 5 mins,783 km: 6 hours 55 mins,322 km: 3 hours 3 mins,701 km: 6 hours 10 mins,359 km: 3 hours 20 mins,401 km: 3 hours 46 mins,515 km: 4 hours 42 mins,539 km: 5 hours 2 mins,441 km: 4 hours 3 mins,551 km: 5 hours 7 mins,549 km: 5 hours 0 mins,313 km: 2 hours 54 mins,568 km: 5 hours 28 mins,736 km: 6 hours 30 mins,507 km: 4 hours 36 mins,526 km: 4 hours 54 mins,489 km: 4 hours 18 mins,545 km: 5 hours 2 mins,296 km: 2 hours 44 mins,481 km: 4 hours 28 mins,322 km: 3 hours 8 mins,102 km: 1 hour 5 mins,202 km: 1 hour 56 mins,NULL,240 km: 2 hours 16 mins,160 km: 1 hour 46 mins,526 km: 4 hours 39 mins,441 km: 4 hours 6 mins,310 km: 2 hours 55 mins,274 km: 2 hours 51 mins,558 km: 5 hours 8 mins,570 km: 5 hours 16 mins,99.5 km: 1 hour 3 mins,747 km: 6 hours 32 mins,223 km: 2 hours 38 mins,533 km: 4 hours 54 mins,436 km: 4 hours 2 mins,504 km: 4 hours 43 mins,113 km: 1 hour 6 mins,567 km: 5 hours 12 mins,488 km: 4 hours 30 mins,297 km: 2 hours 42 mins,441 km: 4 hours 5 mins,528 km: 4 hours 54 mins,526 km: 4 hours 43 mins,512 km: 4 hours 30 mins,473 km: 4 hours 20 mins,358 km: 3 hours 16 mins,468 km: 4 hours 28 mins
Heilbronn,593 km: 5 hours 26 mins,616 km: 5 hours 47 mins,314 km: 2 hours 54 mins,314 km: 2 hours 59 mins,154 km: 1 hour 33 mins,53.7 km: 46 mins,355 km: 3 hours 24 mins,364 km: 3 hours 24 mins,373 km: 3 hours 34 mins,585 km: 5 hours 21 mins,475 km: 4 hours 16 mins,438 km: 3 hours 57 mins,474 km: 4 hours 33 mins,171 km: 1 hour 41 mins,372 km: 3 hours 28 mins,377 km: 3 hours 33 mins,356 km: 3 hours 21 mins,294 km: 2 hours 49 mins,437 km: 4 hours 6 mins,80.8 km: 54 mins,92.0 km: 1 hour 2 mins,419 km: 3 hours 54 mins,159 km: 1 hour 34 mins,222 km: 2 hours 17 mins,363 km: 3 hours 28 mins,356 km: 3 hours 23 mins,394 km: 3 hours 42 mins,459 km: 4 hours 26 mins,395 km: 3 hours 34 mins,712 km: 6 hours 34 mins,378 km: 3 hours 35 mins,447 km: 4 hours 4 mins,531 km: 4 hours 44 mins,223 km: 2 hours 12 mins,376 km: 3 hours 27 mins,676 km: 6 hours 24 mins,300 km: 2 hours 57 mins,784 km: 6 hours 55 mins,161 km: 1 hour 35 mins,317 km: 3 hours 8 mins,349 km: 3 hours 15 mins,393 km: 3 hours 43 mins,210 km: 2 hours 3 mins,365 km: 3 hours 29 mins,383 km: 3 hours 34 mins,82.2 km: 54 mins,472 km: 4 hours 23 mins,574 km: 5 hours 15 mins,321 km: 2 hours 58 mins,340 km: 3 hours 17 mins,572 km: 5 hours 3 mins,358 km: 3 hours 24 mins,65.8 km: 45 mins,397 km: 3 hours 50 mins,124 km: 1 hour 18 mins,260 km: 2 hours 29 mins,108 km: 1 hour 6 mins,239 km: 2 hours 13 mins,NULL,150 km: 1 hour 34 mins,488 km: 4 hours 38 mins,356 km: 3 hours 27 mins,157 km: 1 hour 34 mins,83.6 km: 57 mins,392 km: 3 hours 41 mins,386 km: 3 hours 40 mins,176 km: 1 hour 44 mins,646 km: 5 hours 57 mins,96.1 km: 1 hour 4 mins,347 km: 3 hours 17 mins,224 km: 2 hours 13 mins,318 km: 3 hours 5 mins,196 km: 1 hour 51 mins,381 km: 3 hours 34 mins,257 km: 2 hours 30 mins,342 km: 3 hours 16 mins,276 km: 2 hours 38 mins,444 km: 4 hours 15 mins,438 km: 4 hours 10 mins,595 km: 5 hours 15 mins,287 km: 2 hours 43 mins,127 km: 1 hour 17 mins,281 km: 2 hours 43 mins
Ulm,623 km: 5 hours 39 mins,697 km: 6 hours 20 mins,156 km: 1 hour 37 mins,451 km: 4 hours 15 mins,292 km: 2 hours 49 mins,91.5 km: 1 hour 1 min,493 km: 4 hours 40 mins,501 km: 4 hours 40 mins,510 km: 4 hours 50 mins,673 km: 6 hours 3 mins,505 km: 4 hours 29 mins,468 km: 4 hours 10 mins,555 km: 5 hours 7 mins,201 km: 1 hour 54 mins,510 km: 4 hours 44 mins,514 km: 4 hours 49 mins,493 km: 4 hours 37 mins,431 km: 4 hours 4 mins,518 km: 4 hours 40 mins,218 km: 2 hours 9 mins,160 km: 1 hour 38 mins,557 km: 5 hours 10 mins,296 km: 2 hours 49 mins,87.0 km: 58 mins,501 km: 4 hours 43 mins,494 km: 4 hours 39 mins,531 km: 4 hours 57 mins,540 km: 4 hours 59 mins,424 km: 3 hours 47 mins,792 km: 7 hours 7 mins,515 km: 4 hours 51 mins,477 km: 4 hours 17 mins,561 km: 4 hours 57 mins,283 km: 2 hours 47 mins,514 km: 4 hours 43 mins,757 km: 6 hours 58 mins,381 km: 3 hours 30 mins,814 km: 7 hours 8 mins,298 km: 2 hours 50 mins,398 km: 3 hours 41 mins,487 km: 4 hours 31 mins,535 km: 4 hours 57 mins,301 km: 3 hours 10 mins,502 km: 4 hours 45 mins,520 km: 4 hours 49 mins,219 km: 2 hours 10 mins,564 km: 5 hours 23 mins,683 km: 6 hours 25 mins,458 km: 4 hours 14 mins,477 km: 4 hours 32 mins,601 km: 5 hours 16 mins,495 km: 4 hours 40 mins,203 km: 2 hours 0 mins,478 km: 4 hours 23 mins,262 km: 2 hours 33 mins,227 km: 2 hours 24 mins,204 km: 1 hour 52 mins,161 km: 1 hour 47 mins,150 km: 1 hour 37 mins,NULL,569 km: 5 hours 12 mins,437 km: 4 hours 0 mins,295 km: 2 hours 50 mins,130 km: 1 hour 21 mins,530 km: 4 hours 57 mins,523 km: 4 hours 56 mins,206 km: 1 hour 57 mins,727 km: 6 hours 30 mins,72.1 km: 1 hour 7 mins,484 km: 4 hours 32 mins,361 km: 3 hours 28 mins,455 km: 4 hours 21 mins,226 km: 2 hours 4 mins,518 km: 4 hours 50 mins,394 km: 3 hours 46 mins,409 km: 3 hours 40 mins,413 km: 3 hours 54 mins,524 km: 4 hours 48 mins,519 km: 4 hours 44 mins,625 km: 5 hours 28 mins,424 km: 3 hours 58 mins,188 km: 1 hour 52 mins,332 km: 3 hours 14 mins
Wolfsburg,229 km: 2 hours 14 mins,221 km: 2 hours 6 mins,601 km: 5 hours 21 mins,376 km: 3 hours 25 mins,368 km: 3 hours 28 mins,527 km: 5 hours 1 min,364 km: 3 hours 22 mins,295 km: 2 hours 42 mins,334 km: 3 hours 4 mins,197 km: 1 hour 49 mins,315 km: 2 hours 51 mins,206 km: 1 hour 56 mins,88.8 km: 59 mins,454 km: 4 hours 11 mins,349 km: 3 hours 6 mins,319 km: 2 hours 54 mins,331 km: 2 hours 59 mins,399 km: 3 hours 37 mins,195 km: 1 hour 53 mins,442 km: 4 hours 6 mins,497 km: 4 hours 37 mins,274 km: 2 hours 41 mins,389 km: 3 hours 35 mins,603 km: 5 hours 32 mins,438 km: 4 hours 3 mins,388 km: 3 hours 40 mins,320 km: 2 hours 54 mins,33.8 km: 28 mins,301 km: 2 hours 46 mins,316 km: 2 hours 54 mins,374 km: 3 hours 22 mins,165 km: 1 hour 37 mins,88.9 km: 52 mins,628 km: 5 hours 47 mins,342 km: 2 hours 59 mins,280 km: 2 hours 44 mins,251 km: 2 hours 46 mins,258 km: 3 hours 24 mins,394 km: 3 hours 44 mins,182 km: 1 hour 51 mins,307 km: 2 hours 46 mins,266 km: 2 hours 26 mins,542 km: 5 hours 1 min,343 km: 3 hours 11 mins,314 km: 2 hours 47 mins,444 km: 4 hours 6 mins,220 km: 2 hours 12 mins,239 km: 2 hours 15 mins,360 km: 3 hours 10 mins,346 km: 3 hours 12 mins,207 km: 1 hour 52 mins,365 km: 3 hours 24 mins,447 km: 4 hours 8 mins,230 km: 2 hours 9 mins,391 km: 3 hours 39 mins,513 km: 4 hours 36 mins,380 km: 3 hours 32 mins,526 km: 4 hours 40 mins,487 km: 4 hours 36 mins,568 km: 5 hours 9 mins,NULL,139 km: 1 hour 25 mins,371 km: 3 hours 29 mins,518 km: 4 hours 49 mins,309 km: 2 hours 48 mins,327 km: 2 hours 58 mins,470 km: 4 hours 14 mins,250 km: 2 hours 16 mins,570 km: 5 hours 19 mins,338 km: 3 hours 2 mins,423 km: 4 hours 6 mins,362 km: 3 hours 24 mins,459 km: 4 hours 6 mins,358 km: 3 hours 13 mins,538 km: 5 hours 11 mins,275 km: 2 hours 29 mins,380 km: 3 hours 27 mins,83.8 km: 54 mins,51.3 km: 35 mins,321 km: 2 hours 51 mins,397 km: 3 hours 35 mins,532 km: 4 hours 52 mins,686 km: 6 hours 19 mins
Gottingen,336 km: 3 hours 16 mins,267 km: 2 hours 34 mins,516 km: 4 hours 42 mins,293 km: 2 hours 45 mins,236 km: 2 hours 15 mins,395 km: 3 hours 48 mins,281 km: 2 hours 42 mins,211 km: 2 hours 1 min,246 km: 2 hours 25 mins,243 km: 2 hours 16 mins,334 km: 2 hours 59 mins,229 km: 2 hours 4 mins,124 km: 1 hour 20 mins,347 km: 3 hours 19 mins,266 km: 2 hours 38 mins,231 km: 2 hours 15 mins,248 km: 2 hours 19 mins,316 km: 2 hours 57 mins,180 km: 1 hour 42 mins,310 km: 2 hours 53 mins,365 km: 3 hours 24 mins,250 km: 2 hours 19 mins,257 km: 2 hours 23 mins,485 km: 4 hours 28 mins,355 km: 3 hours 23 mins,305 km: 3 hours 0 mins,244 km: 2 hours 23 mins,109 km: 1 hour 13 mins,291 km: 2 hours 39 mins,362 km: 3 hours 21 mins,281 km: 2 hours 52 mins,191 km: 1 hour 49 mins,196 km: 1 hour 54 mins,496 km: 4 hours 34 mins,273 km: 2 hours 30 mins,326 km: 3 hours 11 mins,158 km: 1 hour 53 mins,440 km: 4 hours 3 mins,261 km: 2 hours 32 mins,49.7 km: 39 mins,224 km: 2 hours 6 mins,197 km: 1 hour 59 mins,410 km: 3 hours 48 mins,255 km: 2 hours 33 mins,232 km: 2 hours 14 mins,311 km: 2 hours 54 mins,227 km: 2 hours 25 mins,285 km: 2 hours 42 mins,277 km: 2 hours 30 mins,263 km: 2 hours 32 mins,314 km: 2 hours 54 mins,282 km: 2 hours 43 mins,315 km: 2 hours 55 mins,140 km: 1 hour 25 mins,259 km: 2 hours 27 mins,450 km: 4 hours 10 mins,248 km: 2 hours 20 mins,440 km: 4 hours 1 min,355 km: 3 hours 23 mins,436 km: 3 hours 57 mins,138 km: 1 hour 25 mins,NULL,239 km: 2 hours 17 mins,386 km: 3 hours 36 mins,239 km: 2 hours 18 mins,258 km: 2 hours 28 mins,340 km: 3 hours 12 mins,296 km: 2 hours 44 mins,437 km: 4 hours 7 mins,255 km: 2 hours 22 mins,291 km: 2 hours 53 mins,279 km: 2 hours 43 mins,330 km: 3 hours 3 mins,274 km: 2 hours 44 mins,406 km: 3 hours 58 mins,260 km: 2 hours 19 mins,261 km: 2 hours 33 mins,93.7 km: 1 hour 2 mins,88.5 km: 57 mins,428 km: 3 hours 53 mins,314 km: 2 hours 55 mins,400 km: 3 hours 39 mins,554 km: 5 hours 6 mins
Offenbach,553 km: 5 hours 5 mins,498 km: 4 hours 37 mins,385 km: 3 hours 34 mins,197 km: 1 hour 57 mins,10.6 km: 18 mins,211 km: 2 hours 8 mins,238 km: 2 hours 22 mins,225 km: 2 hours 13 mins,256 km: 2 hours 32 mins,446 km: 4 hours 9 mins,473 km: 4 hours 14 mins,397 km: 3 hours 37 mins,356 km: 3 hours 23 mins,217 km: 2 hours 11 mins,255 km: 2 hours 26 mins,238 km: 2 hours 22 mins,239 km: 2 hours 19 mins,180 km: 1 hour 47 mins,319 km: 2 hours 57 mins,91.2 km: 1 hour 0 mins,146 km: 1 hour 31 mins,280 km: 2 hours 42 mins,45.8 km: 33 mins,354 km: 3 hours 21 mins,266 km: 2 hours 36 mins,259 km: 2 hours 32 mins,256 km: 2 hours 31 mins,341 km: 3 hours 16 mins,400 km: 3 hours 37 mins,593 km: 5 hours 24 mins,259 km: 2 hours 34 mins,403 km: 3 hours 42 mins,428 km: 3 hours 58 mins,277 km: 2 hours 41 mins,259 km: 2 hours 25 mins,558 km: 5 hours 14 mins,263 km: 2 hours 29 mins,672 km: 6 hours 6 mins,56.7 km: 40 mins,199 km: 1 hour 58 mins,210 km: 2 hours 3 mins,254 km: 2 hours 31 mins,191 km: 1 hour 54 mins,248 km: 2 hours 27 mins,244 km: 2 hours 22 mins,92.6 km: 1 hour 1 min,333 km: 3 hours 11 mins,435 km: 4 hours 3 mins,204 km: 1 hour 56 mins,223 km: 2 hours 15 mins,531 km: 4 hours 42 mins,242 km: 2 hours 23 mins,96.0 km: 1 hour 2 mins,279 km: 2 hours 40 mins,31.7 km: 32 mins,319 km: 3 hours 2 mins,112 km: 1 hour 10 mins,310 km: 2 hours 53 mins,159 km: 1 hour 35 mins,305 km: 2 hours 50 mins,370 km: 3 hours 29 mins,238 km: 2 hours 17 mins,NULL,167 km: 1 hour 43 mins,253 km: 2 hours 29 mins,269 km: 2 hours 38 mins,210 km: 2 hours 4 mins,509 km: 4 hours 45 mins,241 km: 2 hours 23 mins,230 km: 2 hours 15 mins,133 km: 1 hour 22 mins,201 km: 2 hours 3 mins,205 km: 1 hour 58 mins,264 km: 2 hours 32 mins,197 km: 2 hours 19 mins,305 km: 2 hours 48 mins,137 km: 1 hour 27 mins,325 km: 3 hours 5 mins,320 km: 3 hours 0 mins,593 km: 5 hours 13 mins,170 km: 1 hour 41 mins,181 km: 1 hour 46 mins,336 km: 3 hours 13 mins
